BARCODE,PRODUCT CODE,MODEL NAME,PRODUCT NAME,BRAND NAME,MRP,NET QTY,CATEGORY,DISCOUNT,DIWALI SCHEME A,DIWALI SCHEME B,DIWALI SCHEME C,RETAIL,,Brand Name,LARAH,
8901309227063,bvs6cre350t,6 n creeper glasses large,CUT GLASS CREEPER LARGE 350 ML S/6,BOROSIL,755,7,VISION,40,0,0,0,30,,HT1MXB1LOG150,1 N 0.75 L MIX. BOWL LOGO,47
8901309208031,NOT MENTIONED,6 n white krip glass large,6 n white krip glass large,BOROSIL,660,3,VISION,40,0,0,0,30,,HT1MXB1LOG170,1 N 1.00 L MIX. BOWL LOGO,110
8901309170147,bn430120023,6 n bracelet glasses medium,CUT GLASSES - BRACELET MEDIUM 295 ML,BOROSIL,660,7,VISION,40,0,0,0,30,,HT1MXB1LOG190,1 N 1.50 L MIX. BOWL LOGO,94
8904121214600,NOT MENTIONED,cocoa 300,cocoa 300 1u 300ml ,JAYPEE PLUS ,730,2,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS132,1 N 0.50 L MIX. BOWL ASSORTED,2
8904121212637,NOT MENTIONED,ULTIMA LOCKSAFE 900 ML ,ULTIMA LOCKSAFE 900 ML ,JAYPEE PLUS ,300,126,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS150,1 N 0.75 L MIX. BOWL ASSORTED,6
8904296602813,NOT MENTIONED,STEEL ON 500 ,STEEL ON 500 ,JAYPEE ,500,0,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS170,1 N 1.00 L MIX. BOWL ASSORTED,2
8904121210909,NOT MENTIONED,ROMEO 750,SMART STEEL INSULATED BOTTLE 770 ML 1 U,JAYPEE PLUS ,995,21,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS190,1 N 1.50 L MIX. BOWL ASSORTED,12
8907516003254,NOT MENTIONED,FLITED QUARTER PLATE,FLITED QUARTER PLATE 6N 19CM,LARAH,670,12,LOOSEWARE,50,0,0,0,40,,HT1RP01LOGFL,1 N RICE PLATE LOGO,14
8907516089265,NOT MENTIONED,SNACK PLATE,2 PC 7 SNACK PLATE FABUKA (FLARE) 177MM,LARAH,215,8,SNACK PLATE SET 2 PC,40,5,3,2,30,,HT1RP01OCE1FL,1 N RICE PLATE (FLUTED) ASSORTED,24
8907516093651,NOT MENTIONED,FLUTED FULL PLATE,FLUTED FULL PLATE 6PC 27CM,LARAH,170,16,LOOSEWARE,50,0,0,0,40,,HT1SRB1GREOR,Serving Bowl- 1pc (ORBIT) ASSORTED,53
8907516151283,NOT MENTIONED,ORBIT,6N FULL PLATE 11 GREY 27 CM,LARAH,1215,5,LOOSEWARE,50,0,0,0,40,,HT1SRB1LOGFL,1 N SERVING BOWL LOGO,365
8901309228213,NSFT30GR03,NON STICK FLAT TAWA 300MM,GRANITO NONSTICK IB FLAT TAVA 30 CM,BOROSIL,1545,36,GRANITO,40,4,3,2,30,,HT1STB1JUP4PL,STORAGE BOWL - 1 PC (PLANO) ASSORTED,48
8901309000840,NSFP18GR18,NON STICK FRY PAN 180MM ,GRANITO NON-STICK FRYPAN 18CM,BOROSIL,825,13,GRANITO,40,4,3,2,30,,HT27DN1BOTMO,Dinner Set - 27 Pcs (MOON) ASSORTED,14
8901309233217,NSFP18PRC01,NON STICK FRY PAN 180MM ,NON STICK PROCHEF FRY PAN 18 CM,BOROSIL,695,12,PROCHEF,40,4,3,2,30,,HT2BS40ASS,Break Fast Set - 2 Pcs ASSORTED,190
8901309233170,NSFT30PRC03,NON STICK FLAT TAWA 300MM,NON STICK PROCHEF FLAT TAVA 30 CM,BOROSIL,1275,8,PROCHEF,40,4,3,2,30,,HT2KNS1ZISPL,KLIP N STORE - 2 Pc (PLANO) ASSORTED,274
8901309233224,NSFP20PRC02,NON STICK FRY PAN 200MM ,NON STICK PROCHEF FRY PAN 20 CM,BOROSIL,795,31,PROCHEF,40,4,3,2,30,,HT2LB400ZISMC,400ML LUNCH BOX - 2N ASSORTED,201
8901309233248,NSFP26PRC04,NON STICK FRY PAN 260MM,NON STICK PROCHEF FRY PAN 26 CM,BOROSIL,1150,35,PROCHEF,40,4,3,2,30,,HT2MB01RUBFL,Multipurpose Bowl Set - 2 (FLUTED) ASSORTED,2
8901309000819,NSDFP22PRC01,NON STICK DEEP FRY PAN 1.5L/220MM,NON STICK PROCHEF DEEP PAN 22CM/1.5L+LID,BOROSIL,1295,5,PROCHEF,40,4,3,2,30,,HT2MUG25CSC1,24CL Mug Set - 2 Pc ASSORTED,268
8901309228121,CPSP20SS20,SAUCE PAN -3L/20CM,STAINLESS STEEL SAUCE PAN,BOROSIL,1690,3,IMB,40,4,3,2,30,,HT2MUG25LOG1,2 N 24CL MUG LOGO,90
8901309005913,VJCCASRL18 ,CASSEROLE WITH LID 1.7L/18CM,VAJRA DIE CAST CERAMIC COOKWARE CASSEROLE,BOROSIL,2390,10,VAJRA CERAMIC,40,4,3,2,30,,HT2MUG25LOGOR,24CL Mug Set - 2 Pc (ORBIT),269
8901309005869,VJCSGPAN22,SQUARE GRILL FRY PAN 1.2L/22CM,VAJRA CERAMIC SQR. GRILL PAN 22,BOROSIL,1750,3,VAJRA CERAMIC,40,4,3,2,30,,HT2MUG28CSANO,28CL MUG NOVELTY - 2 Pc,117
8901309000239,CFTSPWL16,TRY PLY SAUCE PAN WITH LID 1.75L /16CM,STRAIGHT SHAPE SAUCE PAN WITH LID 16CM,BOROSIL,2395,1,TRIPLY,50,0,0,0,40,,HT2MUG32IVY,32CL MUG - 2 PC (PREMIA),75
8901309227940,CFTSP16SS48,TRY PLY SAUCE PAN WITH LID 1.6L /16CM,TRI-PLY SAUCEPAN 1.6L/16 CM,BOROSIL,2095,41,TRIPLY,50,0,0,0,40,,HT2MUG35IVY,35CL Mug Set - 2 Pc (PREMIA),85
8901309221689,CFSP16SS11,SAUCE PAN -1.5L/16CM,IMB SAUCE PAN - 1.6L /16CM,BOROSIL,1125,1,IMB,40,4,3,2,30,,HT2MUG35VGY,35CL Mug Set - 2 Pc ASSORTED,74
8901309227964,CFTSP20SS50,TRY PLY SAUCE PAN WITH LID 3.1L /20CM,TRI-PLY SAUCEPAN 3.1L/20 CM,BOROSIL,3195,4,TRIPLY,50,0,0,0,40,,HT2MUG40IVY,39CL Mug Set - 2 Pc (PREMIA),129
8901309228077,CFTT020SS61,TRY-PLY TOPE WITH LID 3.1L/20 CM ,COOKFRESH STAINLESS STEEL TOPE,BOROSIL,2350,2,TRIPLY,50,0,0,0,40,,HT2MUG40LOGOR,2 N 39CL MUG LOGO (OR),460
